area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,type,locality,area,price_unit,region,status,age,owner,posted_date,images
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1257.0,2.0,1.0,68.5,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255.0,2.0,1.0,58.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,1614.0,3.0,2.0,95.0,,,,,,,,,,,
Plot  Area,Ready To Move,Singapura Village,4 Bedroom,,2230.0,4.0,1.0,130.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Foghaa ,1040.0,2.0,2.0,50.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1016.0,2.0,1.0,45.0,,,,,,,,,,,
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,PrarePa,900.0,2.0,1.0,41.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Harlur,2 BHK,Sancyi ,1200.0,2.0,1.0,49.5,,,,,,,,,,,
Super built-up  Area,Ready To Move,Glass Factory Layout,3 BHK,VMlet C,1450.0,3.0,3.0,65.0,,,,,,,,,,,
Plot  Area,Ready To Move,Jnana Ganga Nagar,3 Bedroom,,1320.0,2.0,1.0,95.0,,,,,,,,,,,
Plot  Area,18-Jan,Devanahalli,3 Bedroom,Ozdiaan,1200.0,3.0,1.0,145.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,PaontWa,1636.0,2.0,2.0,82.89,,,,,,,,,,,
Built-up  Area,Ready To Move,Ulsoor,2 BHK,,1275.0,2.0,,120.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1075.0,2.0,2.0,45.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hoskote,3 BHK,Sohti S,1069.0,2.0,,38.0,,,,,,,,,,,
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400.0,2.0,1.0,150.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,ChionCo,1757.0,3.0,3.0,98.0,,,,,,,,,,,
Plot  Area,16-Jan,Sarjapur  Road,4 Bedroom,Saacesa,1240.0,4.0,0.0,110.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bhagyalakshmi Avenue,1 BHK,Prineth,540.0,1.0,1.0,22.5,,,,,,,,,,,
Built-up  Area,Ready To Move,Basavangudi,4 Bedroom,,2500.0,4.0,1.0,150.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Electronic City,2 BHK,PronsEn,1090.0,2.0,2.0,35.03,,,,,,,,,,,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veitaus,1224.0,2.0,2.0,75.0,,,,,,,,,,,
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",3 BHK,,1300.0,3.0,2.0,64.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Old Airport Road,3 BHK,,2392.0,3.0,2.0,249.0,,,,,,,,,,,
Plot  Area,Ready To Move,singapura paradise,4 Bedroom,,1200.0,4.0,1.0,140.0,,,,,,,,,,,
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,1200.0,2.0,0.0,65.0,,,,,,,,,,,
Super built-up  Area,18-May,Thanisandra,2 BHK,SLityee,1020.0,2.0,1.0,44.5,,,,,,,,,,,
Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCs 2rj,1350.0,2.0,3.0,85.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Ely 3Em,1270.0,2.0,2.0,62.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,33.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Clell D,1084.0,2.0,3.0,55.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sparam ,1317.0,2.0,2.0,52.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113.0,2.0,1.0,51.0,,,,,,,,,,,
Super built-up  Area,22-May,Jakkur,2 BHK,SoineC ,1452.19,2.0,1.0,100.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Elodsre,1521.0,2.0,2.0,57.5,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,DiamiSa,1560.0,2.0,2.0,65.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Krine O,921.0,2.0,2.0,40.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,36.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2409.0,3.0,2.0,360.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845.0,2.0,0.0,34.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,MNikaas,1240.0,2.0,1.0,65.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,,1070.0,2.0,2.0,33.0,,,,,,,,,,,
Plot  Area,Ready To Move,R.T. Nagar,3 Bedroom,,1300.0,3.0,,145.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,PrntaEn,1560.0,3.0,2.0,120.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thippasandra,1 BHK,,660.0,1.0,0.0,30.0,,,,,,,,,,,
Super built-up  Area,19-Oct,Anekal,1 BHK,,530.0,1.0,1.0,18.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Koagati,1186.0,2.0,2.0,55.33,,,,,,,,,,,
Super built-up  Area,21-Jan,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,30.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Naidu Layout,3 BHK,,1485.0,3.0,2.0,78.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Richmond Town,4 BHK,,2380.0,4.0,3.0,242.0,,,,,,,,,,,
Plot  Area,Ready To Move,BTM 1st Stage,4 Bedroom,,1100.0,5.0,2.0,121.0,,,,,,,,,,,
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Enodsed,1344.0,3.0,1.0,130.0,,,,,,,,,,,
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,1200.0,2.0,1.0,65.0,,,,,,,,,,,
Plot  Area,Ready To Move,Cholanayakanahalli,2 Bedroom,,1300.0,2.0,2.0,95.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Amruthahalli,1 Bedroom,,600.0,1.0,1.0,55.0,,,,,,,,,,,
Plot  Area,Ready To Move,Immadihalli,2 Bedroom,,900.0,3.0,1.0,105.0,,,,,,,,,,,
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,,1400.0,2.0,2.0,40.43,,,,,,,,,,,
Plot  Area,Ready To Move,Sahakara Nagar,4 Bedroom,,1200.0,4.0,,190.0,,,,,,,,,,,
Super built-up  Area,18-Dec,Varthur Road,2 BHK,,850.0,2.0,1.0,25.4,,,,,,,,,,,
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,PaontWa,1777.0,3.0,2.0,100.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Jaya Mahal layout,3 BHK,Nehalri,2648.0,3.0,3.0,238.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Maana E,2720.0,5.0,,210.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Sarvabhouma Nagar,1 BHK,,500.0,1.0,0.0,24.0,,,,,,,,,,,
Super built-up  Area,18-Oct,Bannerghatta Road,3 BHK,DSnjh S,1556.0,2.0,1.0,59.13,,,,,,,,,,,
Super built-up  Area,19-Dec,Jalahalli,2 BHK,DSata S,1035.0,2.0,1.0,31.05,,,,,,,,,,,
Plot  Area,Ready To Move,Padmanabhanagar,3 Bedroom,,610.0,2.0,1.0,75.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Banashankari,2 BHK,SuentAp,1100.0,2.0,1.0,63.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,,1190.0,2.0,2.0,39.0,,,,,,,,,,,
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,26.25,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691.0,3.0,2.0,119.0,,,,,,,,,,,
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,,1000.0,2.0,1.0,25.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,R.T. Nagar,3 BHK,JaniaGa,1400.0,2.0,3.0,78.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,JKmesHo,1040.0,2.0,1.0,50.0,,,,,,,,,,,
Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,AsastDe,984.0,2.0,1.0,45.75,,,,,,,,,,,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Chara N,1300.0,2.0,3.0,65.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2330.0,5.0,1.0,175.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Haralur Road,3 BHK,,1890.0,3.0,2.0,84.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1350.0,2.0,1.0,87.01,,,,,,,,,,,
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310.0,3.0,1.0,63.25,,,,,,,,,,,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1250.0,2.0,2.0,72.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,frazertown,3 BHK,,2000.0,3.0,2.0,210.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,957.0,2.0,1.0,46.9,,,,,,,,,,,
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1149.0,2.0,1.0,75.0,,,,,,,,,,,
Super built-up  Area,18-Jun,Kothannur,3 BHK,,1275.0,3.0,2.0,44.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1480.0,2.0,1.0,58.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3 BHK,,1464.0,3.0,2.0,56.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,,1300.0,3.0,2.0,42.25,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1351.0,2.0,2.0,70.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,3205.0,5.0,1.0,500.0,,,,,,,,,,,
Plot  Area,Ready To Move,Hoskote,3 Bedroom,,1200.0,3.0,2.0,57.0,,,,,,,,,,,
Plot  Area,Ready To Move,Kadabagere,1 Bedroom,,520.0,2.0,0.0,29.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,YCnce R,1110.0,2.0,1.0,40.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,755.0,2.0,1.0,37.49,,,,,,,,,,,
Built-up  Area,Ready To Move,Gopal Reddy Layout,3 BHK,Krestee,2100.0,3.0,1.0,75.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430.0,2.0,2.0,56.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Nayandanahalli,2 BHK,Rarelt ,985.0,2.0,1.0,55.0,,,,,,,,,,,
Super built-up  Area,17-Oct,Banashankari Stage V,3 BHK,Naiewre,1540.0,3.0,2.0,48.51,,,,,,,,,,,
Super built-up  Area,Ready To Move,Amruthahalli,3 BHK,,2650.0,4.0,0.0,175.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Basavanapura,2 Bedroom,,1200.0,3.0,0.0,85.0,,,,,,,,,,,
Built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Satlea ,1835.0,3.0,2.0,160.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215.0,3.0,2.0,330.0,,,,,,,,,,,
Plot  Area,Ready To Move,Jalahalli,4 Bedroom,,1200.0,4.0,0.0,90.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,GRhtiru,1220.0,3.0,1.0,56.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1186.0,2.0,3.0,55.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,MJarlPe,1165.0,2.0,2.0,75.0,,,,,,,,,,,
Built-up  Area,18-Dec,Bommasandra Industrial Area,2 BHK,,1065.0,2.0,1.0,30.75,,,,,,,,,,,
Super built-up  Area,Ready To Move,Off Bannergatta road,4 BHK,,2180.0,4.0,3.0,115.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Lavelle Road,3 BHK,,6729.0,4.0,,900.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1655.0,3.0,3.0,95.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Varsova Layout,4 Bedroom,,2700.0,4.0,3.0,295.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,Ceste C,1775.0,3.0,3.0,110.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,,1165.0,2.0,1.0,43.0,,,,,,,,,,,
Plot  Area,Ready To Move,Ganga Nagar,3 Bedroom,,720.0,3.0,3.0,65.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1187.0,2.0,2.0,58.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460.0,2.0,2.0,72.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Nobo Nagar,3 BHK,Elacet ,1424.0,2.0,3.0,55.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2 BHK,Aaityi ,1210.0,2.0,2.0,60.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,,1000.0,2.0,1.0,44.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,,1072.0,2.0,1.0,42.87,,,,,,,,,,,
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sencys ,1160.0,2.0,2.0,45.0,,,,,,,,,,,
Super built-up  Area,18-May,Kadugodi,2 BHK,Alestrb,1314.0,2.0,3.0,80.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Kengeri,2 BHK,,963.0,2.0,2.0,40.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Keera R,1525.0,2.0,3.0,67.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Laihai ,1540.0,3.0,0.0,50.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,Roarkan,1820.0,3.0,2.0,79.5,,,,,,,,,,,
Plot  Area,Ready To Move,Devanahalli,4 Bedroom,Soyleif,6136.0,4.0,,550.0,,,,,,,,,,,
Plot  Area,Ready To Move,Nelamangala,4 Bedroom,,1470.0,4.0,2.0,34.5,,,,,,,,,,,
Super built-up  Area,19-Dec,Kanakapura,1 BHK,GoityEt,938.0,1.0,1.0,50.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Chaldi ,1200.0,2.0,2.0,70.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3800.0,4.0,3.0,205.0,,,,,,,,,,,
Super built-up  Area,17-Jun,Harlur,2 BHK,Prncyrn,1197.0,2.0,1.0,79.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Doddabommasandra,2 Bedroom,,1600.0,2.0,1.0,90.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,,1400.0,2.0,1.0,100.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,,1418.0,2.0,2.0,106.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564.0,3.0,2.0,100.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Channasandra,3 BHK,,1800.0,3.0,2.0,60.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Banashankari,1 BHK,,2400.0,1.0,1.0,200.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770.0,1.0,1.0,40.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kenchenahalli,3 BHK,Unateit,1410.0,2.0,2.0,73.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Varthur,2 BHK,Caiseur,1140.0,2.0,3.0,55.5,,,,,,,,,,,
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Matonr ,1030.0,2.0,2.0,57.0,,,,,,,,,,,
Super built-up  Area,18-Jul,Chandapura,3 BHK,SunceEs,1185.0,2.0,2.0,30.22,,,,,,,,,,,
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1430.0,2.0,2.0,75.0,,,,,,,,,,,
Plot  Area,Ready To Move,Vishwapriya Nagar,3 Bedroom,,600.0,3.0,2.0,65.0,,,,,,,,,,,
Super built-up  Area,18-Oct,Chennammana Kere,2 BHK,,1145.0,2.0,2.0,58.4,,,,,,,,,,,
Super built-up  Area,18-Dec,Hosa Road,3 BHK,SJerse ,1470.0,2.0,2.0,84.22,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ceiti I,1197.0,2.0,1.0,56.86,,,,,,,,,,,
Built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Foconna,1325.0,2.0,1.0,90.0,,,,,,,,,,,
Built-up  Area,Ready To Move,St. John's Road,2 BHK,,824.0,2.0,0.0,60.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,MaaveDu,1165.0,2.0,1.0,45.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bellandur,1 BHK,Trows M,950.0,1.0,1.0,40.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,,510.0,1.0,1.0,22.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kodihalli,2 BHK,,1000.0,2.0,1.0,62.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Akshaya Nagar,3 Bedroom,,2650.0,3.0,2.0,125.0,,,,,,,,,,,
Plot  Area,Ready To Move,Frazer Town,5 Bedroom,,2350.0,2.0,0.0,423.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Apows M,1035.0,2.0,1.0,45.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,667.0,1.0,1.0,36.85,,,,,,,,,,,
Built-up  Area,Ready To Move,Anjanapura,4 BHK,,1850.0,4.0,2.0,86.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Jainaht,1300.0,2.0,2.0,82.0,,,,,,,,,,,
Plot  Area,Ready To Move,Venkateswara Nagar,1 Bedroom,,600.0,1.0,0.0,20.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,,920.0,2.0,2.0,60.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,800.0,2.0,1.0,40.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070.0,2.0,1.0,45.5,,,,,,,,,,,
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,795.0,2.0,1.0,32.54,,,,,,,,,,,
Built-up  Area,Ready To Move,9th Phase JP Nagar,8 BHK,,800.0,8.0,,140.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Neisei ,1500.0,2.0,1.0,70.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Lavakusha Nagar,3 BHK,Vanusn ,1545.0,3.0,2.0,65.0,,,,,,,,,,,
Plot  Area,Ready To Move,Jayanti Nagar,2 Bedroom,,1200.0,3.0,1.0,70.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,BEML Layout,2 BHK,,1194.0,2.0,1.0,65.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1350.0,3.0,3.0,78.3,,,,,,,,,,,
Plot  Area,Ready To Move,Nagarbhavi,4 Bedroom,,600.0,3.0,2.0,100.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,Prave E,2000.0,4.0,0.0,120.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820.0,3.0,2.0,99.0,,,,,,,,,,,
Built-up  Area,Ready To Move,Prithvi Layout,3 BHK,Srllaan,1620.0,3.0,,65.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390.0,3.0,2.0,410.0,,,,,,,,,,,
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800.0,1.0,1.0,130.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,3 BHK,,1600.0,3.0,2.0,75.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,HoAcela,1500.0,3.0,2.0,125.0,,,,,,,,,,,
Super built-up  Area,18-Apr,Whitefield,2 BHK,Prtates,1346.0,2.0,1.0,96.17,,,,,,,,,,,
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050.0,2.0,2.0,52.08,,,,,,,,,,,
Super built-up  Area,Ready To Move,Anandapura,2 BHK,ViensRK,1141.0,2.0,1.0,42.75,,,,,,,,,,,
Super built-up  Area,Ready To Move,Ferrar Nagar,4 BHK,Leton A,2360.0,3.0,2.0,185.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hanumanth Nagar,2 BHK,Saersel,1175.0,2.0,2.0,52.86,,,,,,,,,,,
Super built-up  Area,18-Feb,Electronic City,2 BHK,GMown E,1070.0,2.0,1.0,55.0,,,,,,,,,,,
Plot  Area,Ready To Move,Bileshivale,6 Bedroom,,2400.0,7.0,2.0,107.0,,,,,,,,,,,
Super built-up  Area,18-Apr,Munnekollal,2 BHK,Sadhii ,1030.0,2.0,1.0,50.36,,,,,,,,,,,
Super built-up  Area,18-May,SRINIVASAPURA,3 BHK,,1525.0,3.0,2.0,68.63,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,PuendWe,1508.0,2.0,1.0,110.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,1720.0,2.0,1.0,130.0,,,,,,,,,,,
Plot  Area,Ready To Move,6th Phase JP Nagar,8 Bedroom,,1650.0,6.0,2.0,135.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100.0,2.0,1.0,62.0,,,,,,,,,,,
Built-up  Area,Ready To Move,RR Layout,5 Bedroom,,2100.0,3.0,0.0,145.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,,552.0,1.0,1.0,23.5,,,,,,,,,,,
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Foodasa,1170.0,2.0,3.0,53.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Maana E,3785.0,5.0,,280.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Foity S,1350.0,3.0,1.0,55.5,,,,,,,,,,,
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,Prlla C,1650.0,3.0,2.0,85.5,,,,,,,,,,,
Super built-up  Area,18-Apr,Thanisandra,3 BHK,Bhmesy ,1917.0,4.0,2.0,113.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Banashankari 2 nd Stage,3 BHK,,1030.0,2.0,2.0,77.25,,,,,,,,,,,
Built-up  Area,Ready To Move,RMV Extension,3 BHK,DSureSi,1630.0,3.0,2.0,85.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1185.0,2.0,1.0,41.0,,,,,,,,,,,
Built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,Shenshi,600.0,1.0,1.0,30.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,924.0,2.0,2.0,35.11,,,,,,,,,,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Maantr ,1700.0,3.0,3.0,108.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,2900.0,4.0,,240.0,,,,,,,,,,,
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1250.0,2.0,2.0,50.0,,,,,,,,,,,
